month,monthly_sales,average_daily_sales
2013-01-01,180132207,5810716.354838709
2013-02-01,171534275,6126224.107142857
2013-03-01,201180369,6489689.322580645
2013-04-01,183431432,6114381.066666666
2013-05-01,185411063,5981002.0322580645
2013-06-01,180702351,6023411.7
2013-07-01,208843882,6736899.419354838
2013-08-01,198042727,6388475.064516129
2013-09-01,178053963,5935132.1
2013-10-01,187662330,6053623.548387097
2013-11-01,196170924,6539030.8
2013-12-01,231710561,7474534.225806451
2014-01-01,187752787,6056541.516129033
2014-02-01,178924677,6390167.035714285
2014-03-01,193019854,6226446.903225807
2014-04-01,194544977,6484832.566666666
2014-05-01,194693257,6280427.645161291
2014-06-01,190047051,6334901.7
2014-07-01,173892707,5609442.161290322
2014-08-01,163748475,5282208.870967742
2014-09-01,164516168,5483872.266666667
2014-10-01,164216398,5297303.161290322
2014-11-01,173327953,5777598.433333334
2014-12-01,202120592,6520019.096774193
2015-01-01,198843730,6414313.870967742
2015-02-01,178275458,6366980.642857143
2015-03-01,205631683,6633280.096774193
2015-04-01,197918886,6597296.2
2015-05-01,189143897,6101416.0322580645
2015-06-01,207363373,6912112.433333334
2015-07-01,212322616,6849116.645161291
